County,Total_Population_County,Total_Population_Medicaid,Male_Total_Medicaid,Male_Under_19_Medicaid,Male_Under_19_With_Medicaid,Male_Under_19_No_Medicaid,Male_19_to_64_Medicaid,Male_19_to_64_With_Medicaid,Male_19_to_64_No_Medicaid,Male_65_and_Over_Medicaid,Male_65_and_Over_With_Medicaid,Male_65_and_Over_No_Medicaid,Female_Total_Medicaid,Female_Under_19_Medicaid,Female_Under_19_With_Medicaid,Female_Under_19_No_Medicaid,Female_19_to_64_Medicaid,Female_19_to_64_With_Medicaid,Female_19_to_64_No_Medicaid,Female_65_and_Over_Medicaid,Female_65_and_Over_With_Medicaid,Female_65_and_Over_No_Medicaid,state,county,Year
"Cache County, Utah",115520,114803,57027,18163,4098,14065,34394,1185,33209,4470,266,4204,57776,17436,3675,13761,35420,1960,33460,4920,585,4335,49,005,2012
"Davis County, Utah",315809,313026,156541,54902,8564,46338,89002,4771,84231,12637,1197,11440,156485,51662,7390,44272,89960,6701,83259,14863,1262,13601,49,011,2012
"Salt Lake County, Utah",1063842,1056341,529251,156200,32384,123816,330953,16594,314359,42098,4373,37725,527090,149848,32887,116961,324610,22818,301792,52632,7321,45311,49,035,2012
"Utah County, Utah",540504,536800,269583,96580,17734,78846,156367,8891,147476,16636,1422,15214,267217,90570,16628,73942,156669,11780,144889,19978,2117,17861,49,049,2012
"Washington County, Utah",144809,143138,70867,21524,7789,13735,36616,4179,32437,12727,775,11952,72271,20503,6992,13511,37978,4864,33114,13790,838,12952,49,053,2012
"Weber County, Utah",236640,233557,116266,35909,8089,27820,69182,3863,65319,11175,1291,9884,117291,34352,7570,26782,69265,6199,63066,13674,1162,12512,49,057,2012
"Chittenden County, Vermont",158504,157575,77308,15487,4940,10547,53801,7009,46792,8020,1158,6862,80267,14447,4585,9862,55346,7689,47657,10474,1565,8909,50,007,2012
"Albemarle County, Virginia",102251,100873,48747,12247,2358,9889,29939,988,28951,6561,624,5937,52126,9360,1695,7665,34056,2414,31642,8710,1076,7634,51,003,2012
"Arlington County, Virginia",221045,218001,107625,18060,1811,16249,80975,1200,79775,8590,772,7818,110376,17803,3044,14759,81889,1960,79929,10684,1142,9542,51,013,2012
"Augusta County, Virginia",73658,70087,34256,7265,2621,4644,20863,899,19964,6128,212,5916,35831,7120,2103,5017,21923,1133,20790,6788,559,6229,51,015,2012
"Bedford County, Virginia",69590,69354,34097,7400,1179,6221,20708,590,20118,5989,301,5688,35257,7258,1270,5988,21527,1068,20459,6472,331,6141,51,019,2012
"Chesterfield County, Virginia",323856,320846,153455,40758,7998,32760,96084,3968,92116,16613,485,16128,167391,39612,7544,32068,106641,5944,100697,21138,1542,19596,51,041,2012
"Fairfax County, Virginia",1118602,1103966,541880,136425,23012,113413,351280,6869,344411,54175,3991,50184,562086,130146,19000,111146,368238,10198,358040,63702,6356,57346,51,059,2012
"Fauquier County, Virginia",66542,65943,32621,8638,1125,7513,19968,295,19673,4015,214,3801,33322,7558,1141,6417,20593,1052,19541,5171,595,4576,51,061,2012
"Frederick County, Virginia",80317,79117,39084,10069,3115,6954,24010,746,23264,5005,644,4361,40033,9398,1696,7702,24837,901,23936,5798,340,5458,51,069,2012
"Hanover County, Virginia",100668,99812,48480,12205,1554,10651,30213,1333,28880,6062,489,5573,51332,11638,1964,9674,31884,1072,30812,7810,780,7030,51,085,2012
"Henrico County, Virginia",314932,312765,146338,37179,8789,28390,93374,3429,89945,15785,1139,14646,166427,36668,8247,28421,105716,4722,100994,24043,1902,22141,51,087,2012
"James City County, Virginia",68967,67343,32754,7706,1356,6350,18247,249,17998,6801,203,6598,34589,6947,1512,5435,19720,708,19012,7922,302,7620,51,095,2012
"Loudoun County, Virginia",336898,335442,165589,50833,4665,46168,103730,1264,102466,11026,587,10439,169853,49327,3463,45864,107206,1489,105717,13320,1599,11721,51,107,2012
"Montgomery County, Virginia",95194,94598,49037,7756,2437,5319,37204,1460,35744,4077,101,3976,45561,6886,1963,4923,33188,1703,31485,5487,282,5205,51,121,2012
"Prince William County, Virginia",430289,422498,207303,61947,12974,48973,131207,2354,128853,14149,1071,13078,215195,58981,12053,46928,138679,5036,133643,17535,1763,15772,51,153,2012
"Roanoke County, Virginia",92901,91322,43624,10244,2328,7916,26457,967,25490,6923,577,6346,47698,9256,1221,8035,29268,880,28388,9174,1336,7838,51,161,2012
"Rockingham County, Virginia",77391,76994,37784,8866,2321,6545,23024,1100,21924,5894,532,5362,39210,8548,1648,6900,23748,1644,22104,6914,838,6076,51,165,2012
"Spotsylvania County, Virginia",125684,124744,60421,16710,3285,13425,37753,1645,36108,5958,592,5366,64323,16431,2668,13763,40364,2068,38296,7528,1169,6359,51,177,2012
"Stafford County, Virginia",134352,126896,60605,18503,2462,16041,37463,696,36767,4639,199,4440,66291,18520,1873,16647,42199,1095,41104,5572,409,5163,51,179,2012
"York County, Virginia",66146,63214,29939,8325,1179,7146,17529,258,17271,4085,0,4085,33275,7967,301,7666,20521,1323,19198,4787,320,4467,51,199,2012
"Alexandria city, Virginia",146294,143462,68301,12850,2237,10613,49552,890,48662,5899,388,5511,75161,13039,2887,10152,53650,2421,51229,8472,827,7645,51,510,2012
"Chesapeake city, Virginia",228417,215747,100131,28217,7885,20332,61429,2285,59144,10485,768,9717,115616,28437,7432,21005,73194,5151,68043,13985,1811,12174,51,550,2012
"Hampton city, Virginia",136836,131969,61372,15182,4686,10496,38961,2932,36029,7229,589,6640,70597,15250,5090,10160,44900,7323,37577,10447,1309,9138,51,650,2012
"Lynchburg city, Virginia",77113,75540,35725,7726,3973,3753,24215,2854,21361,3784,421,3363,39815,6952,2817,4135,26775,2431,24344,6088,1161,4927,51,680,2012
"Newport News city, Virginia",180726,171335,79909,22039,7428,14611,50060,2728,47332,7810,742,7068,91426,20684,6277,14407,59128,4934,54194,11614,1265,10349,51,700,2012
"Norfolk city, Virginia",245782,219286,107474,25843,11453,14390,72269,5095,67174,9362,1549,7813,111812,24987,10916,14071,73424,10265,63159,13401,2219,11182,51,710,2012
"Portsmouth city, Virginia",96470,93759,43677,11297,5676,5621,27502,2778,24724,4878,794,4084,50082,11483,6466,5017,30682,4988,25694,7917,990,6927,51,740,2012
"Richmond city, Virginia",210309,207562,97314,20124,11644,8480,68588,5362,63226,8602,962,7640,110248,20608,10886,9722,75583,11924,63659,14057,2788,11269,51,760,2012
"Roanoke city, Virginia",97469,96018,45335,10874,4367,6507,29451,2368,27083,5010,421,4589,50683,10480,4651,5829,31969,5003,26966,8234,504,7730,51,770,2012
"Suffolk city, Virginia",85181,82695,38612,10891,3390,7501,23376,1027,22349,4345,432,3913,44083,10627,3751,6876,27548,3645,23903,5908,861,5047,51,800,2012
"Virginia Beach city, Virginia",447021,423499,200604,52560,8598,43962,126823,3454,123369,21221,832,20389,222895,50976,10278,40698,143233,7245,135988,28686,2707,25979,51,810,2012
"Benton County, Washington",182398,180507,89542,24882,7194,17688,53791,3881,49910,10869,595,10274,90965,23641,8126,15515,55003,5158,49845,12321,1342,10979,53,005,2012
"Chelan County, Washington",73687,73152,36128,8908,4510,4398,21872,3095,18777,5348,644,4704,37024,9093,4637,4456,21948,3498,18450,5983,1170,4813,53,007,2012
"Clallam County, Washington",71863,70519,34355,6067,3065,3002,19790,2459,17331,8498,670,7828,36164,6362,2936,3426,20508,3267,17241,9294,401,8893,53,009,2012
"Clark County, Washington",438287,436000,215138,58483,23524,34959,131339,10810,120529,25316,2596,22720,220862,54481,19679,34802,136655,15487,121168,29726,3974,25752,53,011,2012
"Cowlitz County, Washington",101996,101091,50084,12087,5308,6779,30174,4253,25921,7823,1189,6634,51007,11434,5913,5521,30686,6278,24408,8887,1845,7042,53,015,2012
"Franklin County, Washington",85845,83591,42885,15496,8342,7154,25038,1358,23680,2351,318,2033,40706,13776,7007,6769,23898,3895,20003,3032,820,2212,53,021,2012
"Grant County, Washington",91723,91070,46573,14954,8435,6519,26545,2362,24183,5074,851,4223,44497,13178,8335,4843,25606,4358,21248,5713,776,4937,53,025,2012
"Grays Harbor County, Washington",71692,68557,33844,7701,4517,3184,20305,2511,17794,5838,825,5013,34713,7471,2865,4606,20865,3157,17708,6377,915,5462,53,027,2012
"Island County, Washington",79177,74590,36044,8343,2431,5912,20425,1128,19297,7276,424,6852,38546,7310,2128,5182,22689,2373,20316,8547,770,7777,53,029,2012
"King County, Washington",2007440,1993482,992421,216555,64899,151656,675681,33445,642236,100185,13591,86594,1001061,206288,58658,147630,667804,50812,616992,126969,19516,107453,53,033,2012
"Kitsap County, Washington",254991,240545,116211,27400,9820,17580,71966,5505,66461,16845,1762,15083,124334,27001,8645,18356,77979,8352,69627,19354,2711,16643,53,035,2012
"Lewis County, Washington",75621,74797,37302,8717,4548,4169,22154,2877,19277,6431,481,5950,37495,8082,4334,3748,22010,3487,18523,7403,1227,6176,53,041,2012
"Pierce County, Washington",811681,790573,386346,100480,32719,67761,244360,17197,227163,41506,4906,36600,404227,96826,30097,66729,254917,25278,229639,52484,6749,45735,53,053,2012
"Skagit County, Washington",118222,116987,57973,13914,6119,7795,34678,2698,31980,9381,1010,8371,59014,13424,5306,8118,35070,3908,31162,10520,1648,8872,53,057,2012
"Snohomish County, Washington",733036,723791,360016,88484,28417,60067,236093,13506,222587,35439,3720,31719,363775,84036,26744,57292,234793,19233,215560,44946,6249,38697,53,061,2012
"Spokane County, Washington",475735,467654,229712,56160,24985,31175,145324,15629,129695,28228,3219,25009,237942,52122,21573,30549,150633,21359,129274,35187,5357,29830,53,063,2012
"Thurston County, Washington",258332,254037,123050,29910,8398,21512,76731,3791,72940,16409,1766,14643,130987,27668,7852,19816,83262,7763,75499,20057,2487,17570,53,067,2012
"Whatcom County, Washington",205262,203635,100111,21293,7956,13337,66134,4882,61252,12684,1927,10757,103524,20157,8185,11972,67757,8442,59315,15610,2695,12915,53,073,2012
"Yakima County, Washington",246977,243543,121338,37951,13688,24263,70101,5974,64127,13286,1525,11761,122205,36569,15530,21039,69723,8245,61478,15913,2287,13626,53,077,2012
"Berkeley County, West Virginia",107098,106635,51484,12305,4776,7529,33014,2335,30679,6165,321,5844,55151,13908,5411,8497,34424,3026,31398,6819,1031,5788,54,003,2012
"Cabell County, West Virginia",96974,95402,46236,9778,3249,6529,30055,4002,26053,6403,746,5657,49166,9427,2903,6524,31021,3917,27104,8718,1493,7225,54,011,2012
"Harrison County, West Virginia",69141,68548,33000,7574,4891,2683,20773,2182,18591,4653,489,4164,35548,7277,3389,3888,21553,2236,19317,6718,962,5756,54,033,2012
"Kanawha County, West Virginia",192179,190399,91290,20120,8063,12057,57406,4551,52855,13764,1395,12369,99109,19121,7532,11589,61186,7273,53913,18802,2489,16313,54,039,2012
"Monongalia County, West Virginia",100332,98898,49954,8317,2433,5884,37203,2020,35183,4434,334,4100,48944,7987,2738,5249,35271,3346,31925,5686,736,4950,54,061,2012
"Raleigh County, West Virginia",79021,75775,36722,8136,3611,4525,22860,2361,20499,5726,267,5459,39053,8203,4363,3840,23563,3095,20468,7287,782,6505,54,081,2012
"Wood County, West Virginia",86701,86230,41573,9736,4043,5693,25443,3254,22189,6394,772,5622,44657,8840,4302,4538,27406,4350,23056,8411,1020,7391,54,107,2012
"Brown County, Wisconsin",253032,250076,123412,32180,9763,22417,78335,6781,71554,12897,1236,11661,126664,29862,11081,18781,79178,11156,68022,17624,1740,15884,55,009,2012
"Dane County, Wisconsin",503523,499892,248661,55430,13568,41862,169751,9811,159940,23480,1571,21909,251231,51297,12721,38576,170059,15943,154116,29875,3159,26716,55,025,2012
"Dodge County, Wisconsin",88415,82830,41944,9867,2003,7864,26201,1574,24627,5876,746,5130,40886,9167,1558,7609,24980,2418,22562,6739,725,6014,55,027,2012
"Eau Claire County, Wisconsin",100677,100071,50202,11443,3541,7902,33233,3633,29600,5526,442,5084,49869,9179,2785,6394,33451,5239,28212,7239,1641,5598,55,035,2012
"Fond du Lac County, Wisconsin",101843,100206,49582,11766,2782,8984,31285,3149,28136,6531,1013,5518,50624,10919,2253,8666,30849,4121,26728,8856,1996,6860,55,039,2012
"Jefferson County, Wisconsin",84498,84031,41442,9746,2378,7368,26548,2224,24324,5148,515,4633,42589,9688,2701,6987,26565,3116,23449,6336,677,5659,55,055,2012
"Kenosha County, Wisconsin",167936,166032,82146,21964,8408,13556,51958,5247,46711,8224,1521,6703,83886,19917,6455,13462,53423,8820,44603,10546,1469,9077,55,059,2012
"La Crosse County, Wisconsin",116461,115263,56169,12382,3012,9370,36959,2937,34022,6828,817,6011,59094,11828,3175,8653,38403,4909,33494,8863,1327,7536,55,063,2012
"Manitowoc County, Wisconsin",80671,80011,39808,8694,2894,5800,24990,2854,22136,6124,741,5383,40203,8703,3283,5420,23973,3360,20613,7527,1310,6217,55,071,2012
"Marathon County, Wisconsin",134735,133511,67095,16705,5072,11633,41741,3874,37867,8649,987,7662,66416,15481,5327,10154,40141,5872,34269,10794,1443,9351,55,073,2012
"Milwaukee County, Wisconsin",955205,946326,455653,121060,62134,58926,290637,40197,250440,43956,6454,37502,490673,116825,60546,56279,309267,72839,236428,64581,12545,52036,55,079,2012
"Outagamie County, Wisconsin",178816,177339,88147,22506,6606,15900,56494,5013,51481,9147,1036,8111,89192,21206,5773,15433,55850,7535,48315,12136,1848,10288,55,087,2012
"Ozaukee County, Wisconsin",86823,86290,42220,9851,1412,8439,26091,2075,24016,6278,570,5708,44070,9577,748,8829,26889,1762,25127,7604,737,6867,55,089,2012
"Portage County, Wisconsin",70433,70105,34812,7359,2428,4931,23208,2122,21086,4245,570,3675,35293,6934,2484,4450,23233,3123,20110,5126,656,4470,55,097,2012
"Racine County, Wisconsin",194797,190619,92932,24186,7118,17068,57369,4487,52882,11377,857,10520,97687,23468,8003,15465,59225,9437,49788,14994,2013,12981,55,101,2012
"Rock County, Wisconsin",160418,159022,77917,20192,9104,11088,48169,6585,41584,9556,1214,8342,81105,18810,7427,11383,49385,8682,40703,12910,2180,10730,55,105,2012
"St. Croix County, Wisconsin",85242,84595,42459,11778,2389,9389,26570,1924,24646,4111,333,3778,42136,11151,1528,9623,26151,1888,24263,4834,333,4501,55,109,2012
"Sheboygan County, Wisconsin",115009,112577,55782,13629,3031,10598,34539,3277,31262,7614,725,6889,56795,13063,3838,9225,34476,4311,30165,9256,1244,8012,55,117,2012
"Walworth County, Wisconsin",102851,102073,50734,11704,4417,7287,32510,3116,29394,6520,648,5872,51339,11464,4535,6929,32238,4778,27460,7637,868,6769,55,127,2012
"Washington County, Wisconsin",132661,131727,64730,15461,1734,13727,41008,2201,38807,8261,553,7708,66997,15978,1887,14091,40780,3260,37520,10239,646,9593,55,131,2012
"Waukesha County, Wisconsin",392292,389764,191113,45293,6814,38479,120025,5511,114514,25795,2057,23738,198651,44527,5568,38959,121230,7907,113323,32894,3082,29812,55,133,2012
"Winnebago County, Wisconsin",168794,163793,80439,18303,5020,13283,52347,4413,47934,9789,962,8827,83354,17733,4957,12776,53060,6780,46280,12561,1447,11114,55,139,2012
"Wood County, Wisconsin",74424,73717,35855,8688,3503,5185,21654,3088,18566,5513,561,4952,37862,8006,3469,4537,22888,4236,18652,6968,993,5975,55,141,2012
"Laramie County, Wyoming",94483,91610,45083,11025,3714,7311,28533,1947,26586,5525,1128,4397,46527,11027,4003,7024,28436,3370,25066,7064,403,6661,56,021,2012
"Natrona County, Wyoming",78621,77539,39106,9941,2759,7182,24808,2149,22659,4357,367,3990,38433,8912,2164,6748,24359,2364,21995,5162,317,4845,56,025,2012
"Arecibo Municipio, Puerto Rico",94658,93123,44072,10740,6893,3847,26179,10270,15909,7153,2078,5075,49051,10067,7208,2859,29651,15078,14573,9333,4105,5228,72,013,2012
"Bayamón Municipio, Puerto Rico",202325,197197,91456,22614,9904,12710,54281,14587,39694,14561,3832,10729,105741,21003,10021,10982,64196,20627,43569,20542,6220,14322,72,021,2012
"Caguas Municipio, Puerto Rico",141392,140994,66186,16804,8360,8444,40085,12336,27749,9297,3305,5992,74808,15915,8704,7211,45700,18464,27236,13193,5571,7622,72,025,2012
"Carolina Municipio, Puerto Rico",172728,172069,79568,19401,9809,9592,47762,10576,37186,12405,2637,9768,92501,18601,8664,9937,56239,16078,40161,17661,3625,14036,72,031,2012
"Guaynabo Municipio, Puerto Rico",96226,95792,45323,10020,4082,5938,28479,5920,22559,6824,1463,5361,50469,9489,4080,5409,31267,7726,23541,9713,2897,6816,72,061,2012
"Mayagüez Municipio, Puerto Rico",86034,85449,40977,9017,5910,3107,25240,10942,14298,6720,1415,5305,44472,8499,5951,2548,26553,11649,14904,9420,2906,6514,72,097,2012
"Ponce Municipio, Puerto Rico",160322,157557,74705,19270,12549,6721,44135,20946,23189,11300,4106,7194,82852,18236,11827,6409,49585,24680,24905,15031,5751,9280,72,113,2012
"San Juan Municipio, Puerto Rico",382299,378605,173396,40537,19038,21499,106192,24203,81989,26667,6044,20623,205209,39628,20586,19042,124686,38860,85826,40895,9341,31554,72,127,2012
"Toa Alta Municipio, Puerto Rico",75434,75371,36483,9967,3099,6868,22970,6797,16173,3546,1231,2315,38888,9541,3744,5797,25043,7015,18028,4304,1167,3137,72,135,2012
"Toa Baja Municipio, Puerto Rico",87582,87435,41392,10458,5987,4471,25270,8029,17241,5664,1303,4361,46043,10056,5315,4741,28791,10984,17807,7196,2069,5127,72,137,2012
"Trujillo Alto Municipio, Puerto Rico",73718,73417,34886,9199,3363,5836,21299,4553,16746,4388,965,3423,38531,8436,3448,4988,24100,6431,17669,5995,1950,4045,72,139,2012
"Baldwin County, Alabama",195540,193472,93182,22607,8323,14284,54935,3372,51563,15640,1244,14396,100290,21619,7186,14433,59899,8578,51321,18772,1757,17015,01,003,2013
"Calhoun County, Alabama",116736,115139,55434,13309,7585,5724,34751,3983,30768,7374,587,6787,59705,12525,6001,6524,37060,6528,30532,10120,1651,8469,01,015,2013
"Cullman County, Alabama",80811,80078,39839,9522,4063,5459,24446,1842,22604,5871,655,5216,40239,8434,2487,5947,24434,2179,22255,7371,1757,5614,01,043,2013
"DeKalb County, Alabama",71013,70341,34489,7779,2969,4810,22142,2168,19974,4568,747,3821,35852,8597,4772,3825,20859,3106,17753,6396,1959,4437,01,049,2013
"Elmore County, Alabama",80902,74996,35669,9506,3624,5882,21320,1907,19413,4843,652,4191,39327,8951,3556,5395,24740,2133,22607,5636,785,4851,01,051,2013
"Etowah County, Alabama",103931,103152,50028,12160,5142,7018,30514,3289,27225,7354,991,6363,53124,10683,4797,5886,32787,4727,28060,9654,1866,7788,01,055,2013
"Houston County, Alabama",103668,102860,49324,12961,6728,6233,29532,2591,26941,6831,788,6043,53536,11861,5267,6594,32306,4225,28081,9369,1851,7518,01,069,2013
"Jefferson County, Alabama",659479,652122,307444,77400,31411,45989,193788,17962,175826,36256,5435,30821,344678,74860,31650,43210,217218,28250,188968,52600,9615,42985,01,073,2013
"Lauderdale County, Alabama",92797,92067,44663,9706,4426,5280,27933,2233,25700,7024,1187,5837,47404,8913,2432,6481,29403,3483,25920,9088,1263,7825,01,077,2013
"Lee County, Alabama",150933,148089,71885,16791,6597,10194,48478,2088,46390,6616,667,5949,76204,16180,6606,9574,51828,3600,48228,8196,1301,6895,01,081,2013
"Limestone County, Alabama",88845,85758,42075,10935,3564,7371,25836,1361,24475,5304,1104,4200,43683,10140,4469,5671,27385,1754,25631,6158,1091,5067,01,083,2013
"Madison County, Alabama",346892,342991,166503,39783,13499,26284,107323,3970,103353,19397,1849,17548,176488,38950,12844,26106,111490,8071,103419,26048,2969,23079,01,089,2013
"Marshall County, Alabama",94760,94008,45465,11454,5446,6008,27860,2645,25215,6151,1043,5108,48543,11815,7131,4684,28406,2577,25829,8322,1339,6983,01,095,2013
